tag,Vrai Nom,Adresse,Arrondissement,Téléphone,Site web,Lien Google,Lien Menu,Horaires,Lien de réservation,Lien de votre compte instagram,Station(s) de métro à proximité,types,petit_dejeuner,brunch_general,brunch_samedi,brunch_dimanche,brunch_toute_la_semaine,dejeuner,gouter,drinks,diner,apero,dans_la_rue,dans_une_galerie,dans_un_musee,dans_un_monument,hotel_name,dans_un_hotel,other_lieu,ambiance_classique,ambiance_intimiste,ambiance_festif,ambiance_date,price_range,cuisines,restrictions,has_terrace,terrace_locs,more_info
str,19 Saint Roch,"19 Rue Saint-Roch, 75001 Paris, France",75001,01 40 15 00 89,https://www.19saint-roch.com/,https://maps.google.com/?cid=16173253362262415735,Canva,"Monday: Closed
Tuesday: 12:15 – 2:00 PM, 7:00 – 11:00 PM
Wednesday: 12:15 – 2:00 PM, 7:00 – 11:00 PM
Thursday: 12:15 – 2:00 PM, 7:00 – 11:00 PM
Friday: 12:15 – 2:00 PM, 7:00 – 11:00 PM
Saturday: Closed
Sunday: Closed",https://bookings.zenchef.com/results?rid=362907&pid=1001,https://www.instagram.com/19saintroch/,non_renseigné,Restaurant haut de gamme,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€€,Français,,False,,
dump,21G Dumpling,"167 Rue du Faubourg Saint-Antoine, 75011 Paris, France",75011,01 40 21 89 93,https://21g-dumpling.com/,https://maps.google.com/?cid=16869031632586235785,https://21g-dumpling.com/menu,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Friday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM
Sunday: 12:00 – 3:00 PM, 7:00 – 10:30 PM",Sans réservation,https://www.instagram.com/21gdumpling/?hl=fr,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,,Chinois,,False,,
fsnt,46 & 3rd,"46 Rue de Turbigo, 75003 Paris, France",75003,07 71 35 28 77,https://www.fortysixandthird.com,https://g.co/kgs/jdWXHpx,https://userdocs.zenchef.com/352258/mJmKfzE9glzC0btMpd5X3bC84aMEr7MHKx5zljak.pdf,"Monday: 9:00 AM – 3:00 PM
Tuesday: 9:00 AM – 3:00 PM
Wednesday: 9:00 AM – 3:00 PM
Thursday: 9:00 AM – 3:00 PM
Friday: 9:00 AM – 3:00 PM
Saturday: 10:00 AM – 4:00 PM
Sunday: 10:00 AM – 4:00 PM",Sans réservation,https://www.instagram.com/46and3rd/,non_renseigné,Concept brunch,True,True,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,,Américain,,True,terrasse_classique,
cpai,5 Pailles,"79 Rue du Faubourg Saint-Denis, 75010 Paris, France",75010,07 68 72 65 52,http://www.5pailles.com/,https://maps.google.com/?cid=13543435532530127920,https://www.5pailles.com,"Monday: 9:00 AM – 4:00 PM
Tuesday: 9:00 AM – 4:00 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 10:00 AM – 4:30 PM
Sunday: 10:00 AM – 4:30 PM",Sans réservation,https://www.instagram.com/5pailles/?hl=en,non_renseigné,Concept brunch,True,True,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,,Américain,,True,terrasse_classique,
abr,A Braccetto,"19 Rue Soufflot, 75005 Paris, France",75005,01 42 01 01 07,https://abraccettoparis.com/,https://maps.google.com/?cid=723808614606353193,https://abraccettoparis.com/menu.html,"Monday: 8:00 AM – 2:00 AM
Tuesday: 8:00 AM – 2:00 AM
Wednesday: 8:00 AM – 2:00 AM
Thursday: 8:00 AM – 2:00 AM
Friday: 8:00 AM – 2:00 AM
Saturday: 8:00 AM – 2:00 AM
Sunday: 8:00 AM – 2:00 AM",https://widget.thefork.com/fr/cfb21d23-5948-4ac5-9af7-c637dc6e598e?utm_source=abraccettoparis.com,https://www.instagram.com/abraccettoparis,non_renseigné,Restaurant,False,True,False,False,True,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Italien,,True,terrasse_classique,
Abs,Abstinence,"47 Av. de la Motte-Picquet, 75015 Paris, France",75015,01 83 64 82 92,https://www.fitz-group.fr/abstinence-paris,https://maps.google.com/?cid=13363248805029616047,https://www.fitz-group.fr/abstinence-paris#cartes,"Monday: 11:30 AM – 2:30 PM, 6:30 PM – 2:00 AM
Tuesday: 11:30 AM – 2:30 PM, 6:30 PM – 2:00 AM
Wednesday: 11:30 AM – 2:30 PM, 6:30 PM – 2:00 AM
Thursday: 11:30 AM – 2:30 PM, 6:30 PM – 2:00 AM
Friday: 11:30 AM – 2:30 PM, 6:30 PM – 2:00 AM
Saturday: 5:00 PM – 2:00 AM
Sunday: Closed",https://www.sevenrooms.com/explore/abstinence/reservations/create/search?venues=abstinence%2Cfitzgerald%2Crestaurantvesper%2Chollywoodsavoy%2Clafontainegaillon,https://www.instagram.com/abstinence.paris/,non_renseigné,Brasserie,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,True,terrasse_classique,Bar à vinyles vendredis et samedis soir. Bar à vins aussi. Verrière et terrasse.
Abu,Abuela,"10 Bd de Clichy, 75018 Paris, France",75018,09 55 93 48 61,https://www.abuela-paris.fr/,https://maps.google.com/?cid=13738397361545740423,Canva,"Monday: 11:00 AM – 2:00 AM
Tuesday: 11:00 AM – 2:00 AM
Wednesday: 11:00 AM – 2:00 AM
Thursday: 11:00 AM – 2:00 AM
Friday: 11:00 AM – 2:00 AM
Saturday: 11:00 AM – 2:00 AM
Sunday: 11:00 AM – 2:00 AM",https://bookings.zenchef.com/results?rid=365449&pid=google,https://www.instagram.com/abuelaparis/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,,,False,,Bar à tapas espagnol. Cocktails/vin/flamenco
Act,Au Top,"93 Rue Vieille du Temple, 75003 Paris, France",75003,01 43 56 50 50,https://www.au-top.paris,https://maps.google.com/?cid=11762086836213274777,https://userdocs.zenchef.com/352049/omxqaB53420Z8AyoTd3hRCsMNwwn9pGlG006i4fo.pdf,"Monday: 6:00 PM – 2:00 AM
Tuesday: 6:00 PM – 2:00 AM
Wednesday: 6:00 PM – 2:00 AM
Thursday: 6:00 PM – 2:00 AM
Friday: 6:00 PM – 2:00 AM
Saturday: 12:00 PM – 2:00 AM
Sunday: 12:00 PM – 2:00 AM",https://www.au-top.paris,https://www.instagram.com/autop_paris/,non_renseigné,Restaurant haut de gamme,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€€,Français,,True,rooftop,Rooftop avec vue sur les toits de Paris
Ada,Adami,"19bis Rue Pierre Fontaine, 75009 Paris, France",75009,07 60 87 02 64,https://adamiparis.com/,https://maps.google.com/?cid=11512921102411330619,https://adamiparis.com/index.php/echantillon-de-notre-carte/,"Monday: Closed
Tuesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Friday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Sunday: Closed",https://adamiparis.com/index.php/reservation/,https://www.instagram.com/adamiparis/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,True,False,False,€€,Italien,,False,,Pâtes fraîches et décor mignon. A la sugo un peu.
Ade,Adela,"20 Rue du Faubourg Poissonnière, 75010 Paris, France",75010,non_renseigné,https://adela-pasta.com/,https://maps.google.com/?cid=18423495348245101941,https://adela-pasta.com/menus,"Monday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Tuesday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Friday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Sunday: 12:00 – 2:30 PM, 7:00 – 11:30 PM",https://bookings.zenchef.com/results?rid=367083&pid=1001,https://www.instagram.com/adela.pasta/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Italien,,False,,Pâtes fraîches et très beau resto
adr,Adraba,"40 Rue Véron, 75018 Paris, France",75018,07 83 57 38 99,https://www.adraba-paris.com,https://maps.google.com/?cid=6797023047303556089,https://www.adraba-paris.com/_files/ugd/bc6dd3_3a7e77a3073948b89401ba00772bfd7e.pdf,"Monday: Closed
Tuesday: 7:00 PM – 2:00 AM
Wednesday: 7:00 PM – 2:00 AM
Thursday: 7:00 PM – 2:00 AM
Friday: 7:00 PM – 2:00 AM
Saturday: 7:00 PM – 2:00 AM
Sunday: 7:00 PM – 12:00 AM",https://www.adraba-paris.com/zenchef,https://www.instagram.com/adraba.paris?igshid=NTc4MTIwNjQ2YQ%3D%3D,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,False,True,False,False,€€,Israélien;Libanais,,False,,"Cuisine excellente, assiettes à partager, tout est parfaitement exécuté. Éclairé à la bougie, personnel aux petits soins."
Agl,Aglio e Olio,"5 Rue Guillaume Bertrand, 75011 Paris, France",75011,01 47 00 70 95,https://www.aglioeolio.fr/,https://maps.google.com/?cid=10336511441483595968,https://www.aglioeolio.fr/menus-carte/,"Monday: 12:00 – 2:00 PM, 7:00 PM – 12:00 AM
Tuesday: 7:00 PM – 12:00 AM
Wednesday: 7:00 PM – 12:00 AM
Thursday: 7:00 PM – 12:00 AM
Friday: 12:00 – 2:00 PM, 7:00 PM – 12:00 AM
Saturday: 12:00 – 2:00 PM, 7:00 PM – 12:00 AM
Sunday: 12:00 – 2:30 PM, 7:00 – 11:00 PM",https://www.aglioeolio.fr,https://www.instagram.com/aglioeolioparis/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Italien,,True,terrasse_classique,Paye pas vraiment de mine mais excellente cuisine.
